source_system,source_record_id,entity_id_truth,npi,me_number,dea_number,first_name,last_name,middle_name,suffix,credential,specialty_code,address_line1,city,state,zip5,phone,state_license,license_state,is_active,do_not_contact
hcp_master,HCP000024,HCP000024,5141011457,60792232247,MR3430324,RONNIE,MUNOZ,B,,MD,207R00000X,1024 MEDICAL PLZ,SYNTH CITY 24,NY,90168,5551763685,NY964729,NY,True,False
crm,CRM000024,HCP000024,5141011457,,MR3430324,RONNIE,MUNOZ,B,,MD,207R00000X,1024 MEDICAL Plaza,SYNTH CITY 24,NY,90168,5551763685,,,True,False
rx_demand,RXD000024,HCP000024,5141011457,60792232247,,RONNIE,MUNOZ,B,,MD,207R00000X,1024 MEDICAL PLZ,SYNTH CITY 24,NY,90168,,,,True,False
specialty,SPC000024,HCP000024,5141011457,,,RONNIE,MUNOZ,B,,MD,207R00000X,1024 MEDICAL Plaza,SYNTH CITY 24,NY,90168,5551763685,,,True,False
hcp_master,HCP000025,HCP000025,3558506721,14590285071,PP8428561,ELIZABETH,ANDERSON,J,,NP,207RR0500X,1025 MEDICAL Plaza,SYNTH CITY 25,NJ,90175,5552203124,NJ790167,NJ,True,False
crm,CRM000025,HCP000025,3558506721,,PP8428561,ELIZABETH,ANDERSON,J,,NP,207RR0500X,1025 MEDICAL Plaza STE 24,SYNTH CITY 25,NJ,90175,5552203124,,,True,False
rx_demand,RXD000025,HCP000025,3558506721,14590285071,,ELIZABETH,ANDERSON,J,,NP,207RR0500X,1025 MEDICAL Plaza,SYNTH CITY 25,NJ,90175,,,,True,False
specialty,SPC000025,HCP000025,3558506721,,,ELIZABETH,ANDERSON,J,,NP,207RR0500X,1025 MEDICAL PLZ,SYNTH CITY 25,NJ,90175,5552203124,,,True,False
hcp_master,HCP000026,HCP000026,5552625563,77822547017,PF3541587,DANIEL,RITTER,A,,PA,207RC0000X,1026 MEDICAL Plaza STE 23,SYNTH CITY 26,MA,90182,5551413432,MA324838,MA,True,False
crm,CRM000026,HCP000026,5552625563,,PF3541587,DANIEL,RITTER,A,,PA,207RC0000X,1026 MEDICAL PLZ,SYNTH CITY 26,MA,90182,5551413432,,,True,False
rx_demand,RXD000026,HCP000026,5552625563,77822547017,,DANIEL,RITTER,A,,PA,207RC0000X,1026 MEDICAL PLZ,SYNTH CITY 26,MA,90182,,,,True,False
specialty,SPC000026,HCP000026,5552625563,,,DANIEL,RITTER,A,,PA,207RC0000X,1026 MEDICAL PLZ,SYNTH CITY 26,MA,90182,5551413432,,,True,False
hcp_master,HCP000027,HCP000027,8352022502,26698266571,FP8042105,BRADLEY,BOWERS,C,,NP,208000000X,1027 MEDICAL PLZ,SYNTH CITY 27,PA,90189,5556868435,PA794176,PA,True,False
crm,CRM000027,HCP000027,8352022502,,FP8042105,BRADLEY,BOWERS,C,,NP,208000000X,1027 MEDICAL PLZ,SYNTH CITY 27,PA,90189,5556868435,,,True,False
rx_demand,RXD000027,HCP000027,8352022502,26698266571,,BRADLEY,BOWERS,C,,NP,208000000X,1027 MEDICAL PLZ,SYNTH CITY 27,PA,90189,,,,True,False
specialty,SPC000027,HCP000027,8352022502,,,BRADLEY,BOWERS,C,,NP,208000000X,1027 MEDICAL PLZ,SYNTH CITY 27,PA,90189,5556868435,,,True,False
hcp_master,HCP000028,HCP000028,5480542682,54633800194,BF9622071,SEAN,MURRAY,C,,DO,207Q00000X,1028 MEDICAL PLZ,SYNTH CITY 28,IL,90196,5558192946,IL645686,IL,True,False
crm,CRM000028,HCP000028,5480542682,,BF9622071,SEAN,MURRAY,C,,DO,207Q00000X,1028 MEDICAL PLZ,SYNTH CITY 28,IL,90196,5558192946,,,True,False
rx_demand,RXD000028,HCP000028,5480542682,54633800194,,SEAN,MURRAY,C,,DO,207Q00000X,1028 MEDICAL Plaza,SYNTH CITY 28,IL,90196,,,,True,False
specialty,SPC000028,HCP000028,,,,SEAN,MURRAY,C,,DO,207Q00000X,1028 MEDICAL Plaza,SYNTH CITY 28,IL,90196,5558192946,,,True,False
hcp_master,HCP000029,HCP000029,5491962671,81069515286,FM6635043,JACOB,CABRERA,B,,PA,207RX0202X,1029 MEDICAL PLZ,SYNTH CITY 29,OH,90203,5556815282,OH534935,OH,True,False
crm,CRM000029,HCP000029,5491962671,,FM6635043,JACOB,CABRERA,B,,PA,207RX0202X,1029 MEDICAL PLZ,SYNTH CITY 29,OH,90203,5556815282,,,True,False
rx_demand,RXD000029,HCP000029,5491962671,81069515286,,JACOB,CABRERA,B,,PA,207RX0202X,1029 MEDICAL PLZ,SYNTH CITY 29,OH,90203,,,,True,False
specialty,SPC000029,HCP000029,5491962671,,,JACOB,CABRERA,B,,PA,207RX0202X,1029 MEDICAL Plaza,SYNTH CITY 29,OH,90203,5556815282,,,True,False
hcp_master,HCP000030,HCP000030,1499503757,08385401555,BG0146698,KARINA,COLLINS,T,,MD,207R00000X,1030 MEDICAL Plaza STE 36,SYNTH CITY 30,MI,90210,5554479795,MI871515,MI,True,False
crm,CRM000030,HCP000030,1499503757,,BG0146698,KARINA,COLLINS,T,,MD,207R00000X,1030 MEDICAL PLZ,SYNTH CITY 30,MI,90210,5554479795,,,True,False
rx_demand,RXD000030,HCP000030,1499503757,08385401555,,KARINA,COLLINS,T,,MD,207R00000X,1030 MEDICAL PLZ,SYNTH CITY 30,MI,90210,,,,True,False
specialty,SPC000030,HCP000030,1499503757,,,KARINA,COLLINS,T,,MD,207R00000X,1030 MEDICAL PLZ,SYNTH CITY 30,MI,90210,5554479795,,,True,False
hcp_master,HCP000031,HCP000031,1651709143,87949587168,AP1871715,JAMES,JONES,M,,PA,207RR0500X,1031 MEDICAL Plaza STE 5,SYNTH CITY 31,MN,90217,5554317595,MN480591,MN,True,False
crm,CRM000031,HCP000031,1651709143,,AP1871715,JAMES,JONES,M,,PA,207RR0500X,1031 MEDICAL PLZ,SYNTH CITY 31,MN,90217,5554317595,,,True,False
rx_demand,RXD000031,HCP000031,1651709143,87949587168,,JAMES,JONES,M,,PA,207RR0500X,1031 MEDICAL Plaza,SYNTH CITY 31,MN,90217,,,,True,False
specialty,SPC000031,HCP000031,1651709143,,,JAMES,JONES,M,,PA,207RR0500X,1031 MEDICAL PLZ,SYNTH CITY 31,MN,90217,5554317595,,,True,False
hcp_master,HCP000032,HCP000032,2099384911,28444707789,PG4383503,JIM,LYONS,J,,DO,207RC0000X,1032 MEDICAL PLZ,SYNTH CITY 32,CA,90224,5554886631,CA744845,CA,True,False
crm,CRM000032,HCP000032,2099384911,,PG4383503,JAMES,LYONS,J,,DO,207RC0000X,1032 MEDICAL PLZ,SYNTH CITY 32,CA,90224,5554886631,,,True,False
rx_demand,RXD000032,HCP000032,2099384911,28444707789,,JAMES,LYONS,J,,DO,207RC0000X,1032 MEDICAL PLZ,SYNTH CITY 32,CA,90224,,,,True,False
specialty,SPC000032,HCP000032,2099384911,,,JAMES,LYONS,J,,DO,207RC0000X,1032 MEDICAL PLZ,SYNTH CITY 32,CA,90224,5554886631,,,True,False
hcp_master,HCP000033,HCP000033,7220309166,51876842194,PF9834720,RANDY,WILLIAMS,B,,DO,208000000X,1033 MEDICAL Plaza STE 10,SYNTH CITY 6,NY,90392,5559267268,OR400052,OR,True,False
crm,CRM000033,HCP000033,7220309166,,PF9834720,RANDY,WILLIAMS,B,,DO,208000000X,1033 MEDICAL Plaza,SYNTH CITY 6,NY,90392,5559267268,,,True,False
rx_demand,RXD000033,HCP000033,7220309166,51876842194,,RANDY,WILLIAMS,B,,DO,208000000X,1033 MEDICAL PLZ,SYNTH CITY 6,NY,90392,,,,True,False
specialty,SPC000033,HCP000033,7220309166,,,RANDY,WILLIAMS,B,,DO,208000000X,1033 MEDICAL PLZ,SYNTH CITY 6,NY,90392,5559267268,,,True,False
hcp_master,HCP000034,HCP000034,1181576632,18011015609,AM8541283,PATRICK,BUCHANAN,K,,NP,207Q00000X,1034 MEDICAL PLZ,SYNTH CITY 34,WA,90238,5551459657,WA159718,WA,True,False
crm,CRM000034,HCP000034,1181576632,,AM8541283,PATRICK,BUCHANAN,K,,NP,207Q00000X,1034 MEDICAL Plaza STE 17,SYNTH CITY 34,WA,90238,5551459657,,,True,False
rx_demand,RXD000034,HCP000034,1181576632,18011015609,,PATRICK,BUCHANAN,K,,NP,207Q00000X,1034 MEDICAL PLZ,SYNTH CITY 34,WA,90238,,,,True,False
specialty,SPC000034,HCP000034,1181576632,,,PATRICK,BUCHANAN,K,,NP,207Q00000X,1034 MEDICAL Plaza,SYNTH CITY 34,WA,90238,5551459657,,,True,False
hcp_master,HCP000035,HCP000035,9824097586,31557158287,GR9290103,MARY,WARNER,M,,NP,207RX0202X,1035 MEDICAL PLZ,SYNTH CITY 35,AZ,90245,5555645100,AZ176353,AZ,True,False
crm,CRM000035,HCP000035,1197340056,,GR9290103,MARY,WARNER,M,,NP,207RX0202X,1035 MEDICAL PLZ,SYNTH CITY 35,AZ,90245,5555645100,,,True,False
rx_demand,RXD000035,HCP000035,1197340056,31557158287,,MARY,WARNER,M,,NP,207RX0202X,1035 MEDICAL PLZ,SYNTH CITY 35,AZ,90245,,,,True,False
