entity_id,npi,me_number,dea_number,first_name,middle_name,last_name,suffix,credential,specialty_code,specialty_name,state_license,license_state,practice_zip5,practice_address1,practice_city,practice_state,phone,is_active,retired_date,relocated_date,volume_latent,do_not_contact,sample_eligible
HCP000023,1092406887,54592465026,MP9653384,JOHNNY,A,MOORE,,NP,207RX0202X,Medical Oncology,GA293927,GA,90161,1023 MEDICAL PLZ,SYNTH CITY 23,GA,5552756297,True,,,8.870759754558371,False,True
HCP000024,5141011457,60792232247,MR3430324,RONNIE,B,MUNOZ,,MD,207R00000X,Internal Medicine,NY964729,NY,90168,1024 MEDICAL PLZ,SYNTH CITY 24,NY,5551763685,True,,,18.519692604859358,False,True
HCP000025,3558506721,14590285071,PP8428561,ELIZABETH,J,ANDERSON,,NP,207RR0500X,Rheumatology,NJ790167,NJ,90175,1025 MEDICAL PLZ,SYNTH CITY 25,NJ,5552203124,True,,,133.41877257983774,False,True
HCP000026,5552625563,77822547017,PF3541587,DANIEL,A,RITTER,,PA,207RC0000X,Cardiovascular Disease,MA324838,MA,90182,1026 MEDICAL PLZ,SYNTH CITY 26,MA,5551413432,True,,,5.291061716827393,False,True
HCP000027,8352022502,26698266571,FP8042105,BRADLEY,C,BOWERS,,NP,208000000X,Pediatrics,PA794176,PA,90189,1027 MEDICAL PLZ,SYNTH CITY 27,PA,5556868435,True,,,12.090771107611666,False,True
HCP000028,5480542682,54633800194,BF9622071,SEAN,C,MURRAY,,DO,207Q00000X,Family Medicine,IL645686,IL,90196,1028 MEDICAL PLZ,SYNTH CITY 28,IL,5558192946,True,,,11.134284737748187,False,True
HCP000029,5491962671,81069515286,FM6635043,JACOB,B,CABRERA,,PA,207RX0202X,Medical Oncology,OH534935,OH,90203,1029 MEDICAL PLZ,SYNTH CITY 29,OH,5556815282,True,,,1.3337144837891752,False,True
HCP000030,1499503757,08385401555,BG0146698,KARINA,T,COLLINS,,MD,207R00000X,Internal Medicine,MI871515,MI,90210,1030 MEDICAL PLZ,SYNTH CITY 30,MI,5554479795,True,,,35.81203300869582,False,True
HCP000031,1651709143,87949587168,AP1871715,JAMES,M,JONES,,PA,207RR0500X,Rheumatology,MN480591,MN,90217,1031 MEDICAL PLZ,SYNTH CITY 31,MN,5554317595,True,,,34.380057640194295,False,True
HCP000032,2099384911,28444707789,PG4383503,JAMES,J,LYONS,,DO,207RC0000X,Cardiovascular Disease,CA744845,CA,90224,1032 MEDICAL PLZ,SYNTH CITY 32,CA,5554886631,True,,,55.0790482514242,False,True
HCP000033,7220309166,51876842194,PF9834720,RANDY,B,WILLIAMS,,DO,208000000X,Pediatrics,OR400052,OR,90392,1033 MEDICAL PLZ,SYNTH CITY 6,NY,5559267268,True,,2024-03-09,10.769932061231572,False,True
HCP000034,1181576632,18011015609,AM8541283,PATRICK,K,BUCHANAN,,NP,207Q00000X,Family Medicine,WA159718,WA,90238,1034 MEDICAL PLZ,SYNTH CITY 34,WA,5551459657,True,,,1.8338686545379583,False,True
HCP000035,1197340056,31557158287,GR9290103,MARY,M,WARNER,,NP,207RX0202X,Medical Oncology,AZ176353,AZ,90245,1035 MEDICAL PLZ,SYNTH CITY 35,AZ,5555645100,True,,,5.765393474773481,False,True
HCP000036,3540743614,40205316139,AB3529095,ERIC,B,ROSS,,MD,207R00000X,Internal Medicine,CO358746,CO,90252,1036 MEDICAL PLZ,SYNTH CITY 36,CO,5553997564,True,,,35.3574989004338,False,True
HCP000037,6238229614,14617170462,MM6377379,HEATHER,S,STEPHENS,,PA,207RR0500X,Rheumatology,TX824236,TX,90259,1037 MEDICAL PLZ,SYNTH CITY 37,TX,5553602072,True,,,5.06963617312126,False,True
HCP000038,7842054505,39160593152,RP6667493,ROBERT,Z,HALL,,NP,207RC0000X,Cardiovascular Disease,FL982881,FL,90266,1038 MEDICAL PLZ,SYNTH CITY 38,FL,5554557930,True,,,7.817551792747133,False,True
HCP000039,4742957531,94009538666,BA7071276,MICHAEL,J,WILLIAMS,,MD,208000000X,Pediatrics,GA855808,GA,90273,1039 MEDICAL PLZ,SYNTH CITY 39,GA,5552941699,True,,,41.59299513541614,False,True
HCP000040,1701447611,99054435412,BP6330290,CHAD,J,PRUITT,,NP,207Q00000X,Family Medicine,NY129095,NY,90280,1040 MEDICAL PLZ,SYNTH CITY 40,NY,5555407900,True,,,1.7568716809385276,False,True
HCP000041,7922165361,54449225015,GM1841324,LOUIS,E,LEVY,,DO,207RX0202X,Medical Oncology,NJ917138,NJ,90910,1041 MEDICAL PLZ,SYNTH CITY 30,WA,5559632320,True,,2024-03-02,1.8522137432394281,False,True
HCP000042,4430064863,45960140171,BG0296936,DANIELLE,K,CHANDLER,,MD,207R00000X,Internal Medicine,MA849914,MA,90294,1042 MEDICAL PLZ,SYNTH CITY 42,MA,5552656419,True,,,65.00347105360409,False,True
HCP000043,2295996815,72084160477,GF8101840,JESSE,C,REYNOLDS,III,DO,207RR0500X,Rheumatology,PA161255,PA,90301,1043 MEDICAL PLZ,SYNTH CITY 43,PA,5552991621,True,,,35.37525578525013,False,True
HCP000044,0376266173,37627340981,GP5292338,JON,R,CARPENTER,,PA,207RC0000X,Cardiovascular Disease,IL935674,IL,90308,1044 MEDICAL PLZ,SYNTH CITY 44,IL,5558707881,True,,,12.085422424483312,False,True
HCP000045,9173896728,82948561378,AA6480307,BECKY,R,PETERSON,,DO,208000000X,Pediatrics,OH861353,OH,90315,1045 MEDICAL PLZ,SYNTH CITY 45,OH,5551372875,True,,,0.6233577193910241,False,True
HCP000046,9050537841,92237821653,BP8752402,CAROLYN,C,GRAHAM,,MD,207Q00000X,Family Medicine,MI961850,MI,90322,1046 MEDICAL PLZ,SYNTH CITY 46,MI,5553414149,True,,,16.507058958723736,False,True
HCP000047,5832453414,58990834428,MR9475476,MICHELLE,T,LLOYD,,NP,207RX0202X,Medical Oncology,MN927341,MN,90329,1047 MEDICAL PLZ,SYNTH CITY 47,MN,5551921459,True,,,24.81933251096844,False,True
HCP000048,7843349151,53169541989,FM4223517,DAVID,C,TRAN,,DO,207R00000X,Internal Medicine,CA146446,CA,90336,1048 MEDICAL PLZ,SYNTH CITY 48,CA,5553808498,True,,,44.19138837341863,False,True
HCP000049,9623268221,57183647611,RG2119932,BRANDON,J,MCINTOSH,,NP,207RR0500X,Rheumatology,OR663418,OR,90343,1049 MEDICAL PLZ,SYNTH CITY 49,OR,5559867592,True,,,21.864797843604073,False,True
HCP000050,3074741059,81321005111,PM9124612,JENNIFER,K,ROBINSON,SR,PA,207RC0000X,Cardiovascular Disease,WA573975,WA,90350,1050 MEDICAL PLZ,SYNTH CITY 0,WA,5554906041,True,,,2.129586403039063,False,True
HCP000051,9104321861,66566472090,BA2314919,NICOLE,H,BROOKS,,DO,208000000X,Pediatrics,AZ384970,AZ,90357,1051 MEDICAL PLZ,SYNTH CITY 1,AZ,5551981809,True,,,2.2698265155111543,False,True
HCP000052,6315838824,56968888201,BM5406371,TAMARA,A,BROWN,,DO,207Q00000X,Family Medicine,CO931019,CO,90364,1052 MEDICAL PLZ,SYNTH CITY 2,CO,5555417483,True,,,0.556143872731124,False,True
HCP000053,9774078502,71737720548,FB8769787,WILLIAM,J,DIAZ,,DO,207RX0202X,Medical Oncology,TX788402,TX,90371,1053 MEDICAL PLZ,SYNTH CITY 3,TX,5559925930,True,,,3.7718975701739232,False,True
HCP000054,0097244244,30498770978,RB0640293,DERRICK,J,CLARK,,DO,207R00000X,Internal Medicine,FL398894,FL,90378,1054 MEDICAL PLZ,SYNTH CITY 4,FL,5558642381,True,,,6.859532867884287,False,True
HCP000055,0064241322,50325589710,RR2065857,ALLISON,C,HUDSON,,PA,207RR0500X,Rheumatology,GA802009,GA,90385,1055 MEDICAL PLZ,SYNTH CITY 5,GA,5552614333,True,,,11.64884460481452,False,True
HCP000056,0467967234,32430921319,BF2005202,MATTHEW,A,SULLIVAN,,DO,207RC0000X,Cardiovascular Disease,NY376200,NY,90392,1056 MEDICAL PLZ,SYNTH CITY 6,NY,5557341745,True,,,19.46302552623787,False,True
HCP000057,5141950597,71219756208,RA0507922,JASON,N,ARNOLD,,PA,208000000X,Pediatrics,NJ175849,NJ,90399,1057 MEDICAL PLZ,SYNTH CITY 7,NJ,5558558867,True,,,8.775479417892962,False,True
HCP000058,1348615869,24311595496,PM7566782,KAITLYN,L,KNOX,,NP,207Q00000X,Family Medicine,MA908838,MA,90406,1058 MEDICAL PLZ,SYNTH CITY 8,MA,5556806672,True,,,5.452779926351272,False,True
HCP000059,2614974907,99667213472,GA0988356,KYLE,B,BLACK,,DO,207RX0202X,Medical Oncology,PA466542,PA,91176,1059 MEDICAL PLZ,SYNTH CITY 18,NY,5554913209,True,,2024-02-17,1.0866361838009424,False,True
HCP000060,7372824004,38192318701,MR1251304,JENNIFER,M,CLEMENTS,,NP,207R00000X,Internal Medicine,IL481923,IL,90420,1060 MEDICAL PLZ,SYNTH CITY 10,IL,5555585486,True,,,5.793153406979361,False,True
HCP000061,7134189209,23220046029,RM5532366,TRAVIS,R,ANDERSON,III,NP,207RR0500X,Rheumatology,OH892760,OH,90427,1061 MEDICAL PLZ,SYNTH CITY 11,OH,5556840040,True,,,5.021620788216056,False,True
HCP000062,5419737031,78527376000,AF0991376,ANNA,P,SIMPSON,,NP,207RC0000X,Cardiovascular Disease,MI702505,MI,90434,1062 MEDICAL PLZ,SYNTH CITY 12,MI,5555518807,True,,,8.993181742607655,False,True
HCP000063,5157957247,78318892777,PR4018803,CHRISTOPHER,J,PARKER,,NP,208000000X,Pediatrics,MN559014,MN,90441,1063 MEDICAL PLZ,SYNTH CITY 13,MN,5555328076,True,,,1.9864802131490003,False,True
HCP000064,4349860146,18450852330,RP8354454,ALLISON,M,HALE,JR,PA,207Q00000X,Family Medicine,CA894108,CA,90448,1064 MEDICAL PLZ,SYNTH CITY 14,CA,5558363344,True,,,12.13589938909807,False,True
HCP000065,7341475599,24901348441,GG5641116,ERIN,J,RHODES,,PA,207RX0202X,Medical Oncology,OR171666,OR,90455,1065 MEDICAL PLZ,SYNTH CITY 15,OR,5556672999,True,,,48.699754857107855,False,True
HCP000066,6748563486,33401340330,BB1705685,LAUREN,R,KNIGHT,,NP,207R00000X,Internal Medicine,WA289853,WA,90462,1066 MEDICAL PLZ,SYNTH CITY 16,WA,5558164603,True,,,6.351616556650305,False,True
HCP000067,1095273326,53070903036,AG7416104,MATTHEW,J,MCDONALD,,DO,207RR0500X,Rheumatology,AZ639758,AZ,90469,1067 MEDICAL PLZ,SYNTH CITY 17,AZ,5559189793,True,,,1.8630967939625365,False,True
HCP000068,3728248295,05996638608,FG4823030,MEAGAN,N,FITZPATRICK,,NP,207RC0000X,Cardiovascular Disease,CO920894,CO,90476,1068 MEDICAL PLZ,SYNTH CITY 18,CO,5559794006,True,,,31.736525042591396,False,True
HCP000069,8305235722,35620560504,MP7728337,TIFFANY,B,MACIAS,,DO,208000000X,Pediatrics,TX695891,TX,90483,1069 MEDICAL PLZ,SYNTH CITY 19,TX,5556236243,True,,,7.977787126829654,False,True
HCP000070,5791159143,42483082775,AR6487716,SHIRLEY,T,JOHNSON,,DO,207Q00000X,Family Medicine,FL193628,FL,90490,1070 MEDICAL PLZ,SYNTH CITY 20,FL,5551952386,True,,,4.286586455924904,False,True
HCP000071,7651110935,63440753570,MR7607745,ANDREW,J,HOOD,,NP,207RX0202X,Medical Oncology,GA813071,GA,90497,1071 MEDICAL PLZ,SYNTH CITY 21,GA,5559763818,True,,,2.7062383722502,False,True
HCP000072,2026398877,70713267062,AF5239398,PAUL,R,HANSON,,DO,207R00000X,Internal Medicine,NY518177,NY,90504,1072 MEDICAL PLZ,SYNTH CITY 22,NY,5554669936,True,,,1.7852070567465301,False,True
HCP000073,7213522130,23003453325,MA4665563,BRANDI,M,MARTINEZ,,NP,207RR0500X,Rheumatology,NJ211676,NJ,90511,1073 MEDICAL PLZ,SYNTH CITY 23,NJ,5554151273,True,,,12.512988295581819,False,True
HCP000074,9083769197,04308797984,MB7646264,CHRISTOPHER,T,JENSEN,JR,PA,207RC0000X,Cardiovascular Disease,MA289004,MA,90518,1074 MEDICAL PLZ,SYNTH CITY 24,MA,5553002680,True,,,4.545657588898464,False,True
HCP000075,1508659434,76830468278,PP9634726,JOSEPH,T,ESCOBAR,,DO,208000000X,Pediatrics,PA765885,PA,90525,1075 MEDICAL PLZ,SYNTH CITY 25,PA,5551642895,True,,,6.549504486195491,False,True
HCP000076,7060275675,54455321325,RA3097247,MEGAN,M,REED,,DO,207Q00000X,Family Medicine,IL727182,IL,90532,1076 MEDICAL PLZ,SYNTH CITY 26,IL,5557171720,True,,,4.744300724774415,False,True
HCP000077,6856082279,55259377879,PR7889579,HEATHER,Z,BROWN,,PA,207RX0202X,Medical Oncology,OH668762,OH,90539,1077 MEDICAL PLZ,SYNTH CITY 27,OH,5554856352,True,,,1.3797877833630088,False,True
HCP000078,7951329235,75436095258,BG5857783,GINA,S,RAY,,PA,207R00000X,Internal Medicine,MI956096,MI,90546,1078 MEDICAL PLZ,SYNTH CITY 28,MI,5553647890,True,,,3.4994821351861236,False,True
HCP000079,5817707693,52379396158,AA0509102,MICHAEL,A,VELAZQUEZ,,DO,207RR0500X,Rheumatology,MN566768,MN,90553,1079 MEDICAL PLZ,SYNTH CITY 29,MN,5557963845,True,,,18.79368791078379,False,True
HCP000080,7538857377,55150874881,AB0555099,ELIZABETH,M,WRIGHT,SR,NP,207RC0000X,Cardiovascular Disease,CA773853,CA,90560,1080 MEDICAL PLZ,SYNTH CITY 30,CA,5553190462,True,,,4.576116560544789,False,True
HCP000081,5050055958,99451252502,MM9880622,RONALD,M,RODRIGUEZ,,MD,208000000X,Pediatrics,OR578611,OR,90567,1081 MEDICAL PLZ,SYNTH CITY 31,OR,5552494910,False,2024-02-08,,34.018571372791875,False,True
HCP000082,8728291609,10999133345,GF9932539,ANGELA,R,TAYLOR,,DO,207Q00000X,Family Medicine,WA167115,WA,90574,1082 MEDICAL PLZ,SYNTH CITY 32,WA,5554445423,True,,,8.813196564071406,False,True
HCP000083,9534418006,23318875934,AM0672633,CHASE,S,CLAYTON,,NP,207RX0202X,Medical Oncology,AZ455164,AZ,90581,1083 MEDICAL PLZ,SYNTH CITY 33,AZ,5555156314,True,,,2.1455188197336352,False,True
HCP000084,3129782835,79677172211,RF3475584,MARTHA,A,SANCHEZ,,PA,207R00000X,Internal Medicine,CO131788,CO,90588,1084 MEDICAL PLZ,SYNTH CITY 34,CO,5553371403,True,,,2.156963830595697,False,True
HCP000085,0270838283,57230969513,GB9955760,DANIELLE,T,VARGAS,,NP,207RR0500X,Rheumatology,TX636436,TX,90595,1085 MEDICAL PLZ,SYNTH CITY 35,TX,5559067419,True,,,1.464610317713363,False,True
HCP000086,8226736022,92299838488,GF9446919,JACQUELINE,J,DIAZ,,DO,207RC0000X,Cardiovascular Disease,FL516244,FL,90602,1086 MEDICAL PLZ,SYNTH CITY 36,FL,5557090968,True,,,77.2142366625825,False,True
HCP000087,2781643723,77857133737,FM2507098,AARON,C,BROOKS,,NP,208000000X,Pediatrics,GA228499,GA,90609,1087 MEDICAL PLZ,SYNTH CITY 37,GA,5557698462,True,,,41.813215193193756,False,True
HCP000088,4111953418,50904376145,GA1525171,AUTUMN,M,HEBERT,,NP,207Q00000X,Family Medicine,NY225531,NY,90616,1088 MEDICAL PLZ,SYNTH CITY 38,NY,5551051578,True,,,1.9448827690314423,False,True
HCP000089,9953428437,62004926331,GM3542650,JENNIFER,A,HARRINGTON,,DO,207RX0202X,Medical Oncology,NJ375959,NJ,90623,1089 MEDICAL PLZ,SYNTH CITY 39,NJ,5559603857,True,,,1.0766347005670518,False,True
HCP000090,2776033385,08694650081,FM5597969,DAVID,J,RUBIO,,NP,207R00000X,Internal Medicine,MA881927,MA,90630,1090 MEDICAL PLZ,SYNTH CITY 40,MA,5551614367,True,,,44.25108184981733,False,True
HCP000091,9211224115,55671702381,PR9302716,DIANE,T,PETERSON,,DO,207RR0500X,Rheumatology,PA626956,PA,90637,1091 MEDICAL PLZ,SYNTH CITY 41,PA,5558037506,True,,,8.75228193197247,False,True
HCP000092,8438951245,70479180187,RM6555283,WALTER,L,ALEXANDER,,NP,207RC0000X,Cardiovascular Disease,IL650286,IL,90644,1092 MEDICAL PLZ,SYNTH CITY 42,IL,5551439739,True,,,12.508417290161276,False,True
HCP000093,8730784898,57510933639,MF2859308,JENNIFER,R,LOWE,,MD,208000000X,Pediatrics,OH308601,OH,90651,1093 MEDICAL PLZ,SYNTH CITY 43,OH,5557811586,True,,,6.653576139141056,False,True
HCP000094,5647170070,11919379135,RB1322187,YOLANDA,C,BENTON,,MD,207Q00000X,Family Medicine,MI664796,MI,90658,1094 MEDICAL PLZ,SYNTH CITY 44,MI,5559855050,True,,,6.265532674072781,False,True
HCP000095,9362476183,35840087711,FB3521476,MICHAEL,J,PATEL,,NP,207RX0202X,Medical Oncology,MN255260,MN,90665,1095 MEDICAL PLZ,SYNTH CITY 45,MN,5558502819,True,,,13.731564204178834,False,True
HCP000096,8632070438,87531934126,FM2084326,AARON,J,GREEN,,PA,207R00000X,Internal Medicine,CA911557,CA,90672,1096 MEDICAL PLZ,SYNTH CITY 46,CA,5552786745,True,,,4.359010057778393,False,True
HCP000097,6691542685,33750374523,AA0615965,WILLIAM,H,TORRES,,PA,207RR0500X,Rheumatology,OR445891,OR,90679,1097 MEDICAL PLZ,SYNTH CITY 47,OR,5558435673,True,,,18.698256221373153,False,True
HCP000098,7365477786,41109187499,RG2088508,NICHOLAS,C,GUTIERREZ,,NP,207RC0000X,Cardiovascular Disease,WA231303,WA,90686,1098 MEDICAL PLZ,SYNTH CITY 48,WA,5551564798,True,,,15.233900271842915,False,True
HCP000099,0435363698,51274571404,BR2201227,DANIEL,M,LI,,PA,208000000X,Pediatrics,AZ908411,AZ,90693,1099 MEDICAL PLZ,SYNTH CITY 49,AZ,5555099461,True,,,2.7788490522667786,False,True
HCP000100,3179532130,25800975955,BP7277015,MARK,J,SCHMIDT,,DO,207Q00000X,Family Medicine,CO852010,CO,90700,1100 MEDICAL PLZ,SYNTH CITY 0,CO,5555010869,True,,,5.932863925228562,False,True
HCP000101,2201151125,17416951359,RR8567761,TONY,M,WASHINGTON,SR,DO,207RX0202X,Medical Oncology,TX996439,TX,90707,1101 MEDICAL PLZ,SYNTH CITY 1,TX,5551805670,True,,,0.4448439871204614,False,True
HCP000102,4938788773,17676335434,GB6324167,SARAH,J,LEWIS,,PA,207R00000X,Internal Medicine,FL553197,FL,90714,1102 MEDICAL PLZ,SYNTH CITY 2,FL,5557580474,True,,,14.383528016293527,False,True
HCP000103,3654157056,93062019725,FB9833843,TREVOR,J,LUNA,,DO,207RR0500X,Rheumatology,GA136067,GA,90721,1103 MEDICAL PLZ,SYNTH CITY 3,GA,5555321281,True,,,33.077807908269435,False,True
HCP000104,3955290515,70732804110,BR4927010,BRAD,C,SULLIVAN,,PA,207RC0000X,Cardiovascular Disease,NY934601,NY,90728,1104 MEDICAL PLZ,SYNTH CITY 4,NY,5553990200,True,,,3.6017087493661477,False,True
HCP000105,4005575137,46739687605,AM7530664,DANIEL,R,MARTINEZ,,NP,208000000X,Pediatrics,NJ142907,NJ,90735,1105 MEDICAL PLZ,SYNTH CITY 5,NJ,5558833487,True,,,5.296867977788236,False,True
HCP000106,6080530499,11257677391,MA7023602,WILLIAM,J,AYALA,,DO,207Q00000X,Family Medicine,MA652749,MA,90742,1106 MEDICAL PLZ,SYNTH CITY 6,MA,5555567541,True,,,2.1391850294948602,False,True
HCP000107,2249632623,99345202160,FR5662626,JAMES,B,COLEMAN,,NP,207RX0202X,Medical Oncology,PA121583,PA,90749,1107 MEDICAL PLZ,SYNTH CITY 7,PA,5553692251,True,,,16.540003050234226,False,True
HCP000108,2889021103,49890661949,AM1960230,BRENDA,S,SANCHEZ,,MD,207R00000X,Internal Medicine,IL582589,IL,90756,1108 MEDICAL PLZ,SYNTH CITY 8,IL,5559124537,True,,,5.431250114910666,False,True
HCP000109,3126851971,93016976340,FM9980826,SHEILA,J,RIVAS,,NP,207RR0500X,Rheumatology,OH369350,OH,90763,1109 MEDICAL PLZ,SYNTH CITY 9,OH,5555687950,True,,,2.953522986511808,False,True
HCP000110,7091905456,09671033784,PA7063424,LARRY,J,GONZALEZ,,DO,207RC0000X,Cardiovascular Disease,MI364401,MI,90770,1110 MEDICAL PLZ,SYNTH CITY 10,MI,5555582045,True,,,5.193250091396204,False,True
HCP000111,6533741610,30195990384,GG7986531,CHRISTOPHER,E,NGUYEN,III,DO,208000000X,Pediatrics,MN807829,MN,90777,1111 MEDICAL PLZ,SYNTH CITY 11,MN,5559543088,False,2024-02-20,,3.0215291219458362,False,True
HCP000112,0079036774,64033939768,PB4590422,KEVIN,J,KIM,,PA,207Q00000X,Family Medicine,CA994529,CA,90784,1112 MEDICAL PLZ,SYNTH CITY 12,CA,5557987639,True,,,6.938357535854233,False,True
HCP000113,7419966941,17743466559,BB7964340,WILLIAM,D,MASSEY,,NP,207RX0202X,Medical Oncology,OR604317,OR,90791,1113 MEDICAL PLZ,SYNTH CITY 13,OR,5559672916,True,,,0.42804315277482763,False,True
HCP000114,3966545873,07436634300,AF5492322,SHAWN,P,BENNETT,,NP,207R00000X,Internal Medicine,WA703743,WA,91176,1114 MEDICAL PLZ,SYNTH CITY 18,NY,5558472266,True,,2024-02-05,3.99005293831682,False,True
HCP000115,9105959602,41164533604,FP7422227,NICHOLAS,A,HAMPTON,,MD,207RR0500X,Rheumatology,AZ301109,AZ,90805,1115 MEDICAL PLZ,SYNTH CITY 15,AZ,5558477927,True,,,6.009465649053259,False,True
HCP000116,4158205375,89132963176,PG1362085,TIMOTHY,G,ORTIZ,,DO,207RC0000X,Cardiovascular Disease,CO101211,CO,90812,1116 MEDICAL PLZ,SYNTH CITY 16,CO,5554963196,True,,,10.914079897970442,False,True
HCP000117,5574586926,70586025848,PB1958940,TYLER,J,GONZALES,,PA,208000000X,Pediatrics,TX576814,TX,90819,1117 MEDICAL PLZ,SYNTH CITY 17,TX,5551251879,True,,,46.36187035187056,False,True
